Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,rsi14,ema20,ema50,ema100,ema200,atr14
2025-12-19 00:00:00-05:00,123.42005514839778,126.59616260362283,123.16118552731625,125.86933898925781,9715400,0.0,0.0,,125.86933898925781,125.86933898925781,125.86933898925781,125.86933898925781,
2025-12-22 00:00:00-05:00,128.20911265416333,128.2887660162035,124.813962159787,126.05851745605469,4852700,0.0,0.0,,125.88735598609561,125.8767577526616,125.87308509751122,125.87122136206176,
2025-12-23 00:00:00-05:00,125.7797354829662,128.06972021554773,125.7797354829662,127.06411743164062,3494400,0.0,0.0,,125.99942850471895,125.92332087732746,125.89666989620686,125.88309097469438,
2025-12-24 00:00:00-05:00,126.13816726669306,128.48788820758344,125.66025470407024,127.82080841064453,1756000,0.0,0.0,,126.17289325766424,125.99773215314382,125.93477164896801,125.90237174520135,
2025-12-26 00:00:00-05:00,128.08962135904218,129.10518270566186,127.4424587003843,128.67706298828125,2733200,0.0,0.0,,126.4113856129611,126.10280395060019,125.98907444776628,125.9299806132917,
2025-12-29 00:00:00-05:00,127.5917973728422,128.78658255939592,126.55633409579701,126.9048080444336,3112000,0.0,0.0,,126.45837822548228,126.13425509153483,126.00720778631415,125.93968038872596,
2025-12-30 00:00:00-05:00,126.38708113484851,127.89049845467045,126.3472544540624,127.36280822753906,2754500,0.0,0.0,,126.54451441615436,126.18243364588793,126.03405135940771,125.95384086473406,
2025-12-31 00:00:00-05:00,127.61171403433427,127.85067410921818,125.23212502745896,125.3316879272461,2925700,0.0,0.0,,126.42900713149643,126.1490710686863,126.02014317263225,125.94765028824165,
2026-01-02 00:00:00-05:00,127.84070931430456,128.78658345898745,125.20225825893877,127.24333190917969,4959300,0.0,0.0,,126.50656187222818,126.19198325850958,126.04436473177181,125.96054264267885,
2026-01-05 00:00:00-05:00,128.99566182887128,130.61856675789923,121.55819834102823,123.46984100341797,8471000,0.0,0.0,,126.21735036091292,126.08523258183932,125.99338406388361,125.93575954179069,
2026-01-06 00:00:00-05:00,124.55509205427846,125.65029919156761,121.29933875402104,123.39019012451172,6595600,0.0,0.0,,125.9480970050652,125.97954464233628,125.94183566904456,125.91043049286255,
2026-01-07 00:00:00-05:00,122.46423483819069,122.76293113235852,118.2327470490662,119.5469970703125,10343400,0.0,0.0,,125.33846843985064,125.72728787480594,125.81520520174294,125.84711274736453,
2026-01-08 00:00:00-05:00,117.04793293789061,118.8500541548062,114.29000177040976,117.98384094238281,11522100,0.0,0.0,,124.63802772580608,125.42362328922071,125.66012868175561,125.76887123686721,
2026-01-09 00:00:00-05:00,119.45739282061632,120.48290511717111,116.8089756387667,120.0946044921875,7001500,0.0,0.0,35.81215889656248,124.20532075117573,125.2146421599253,125.54992028196217,125.71241087124852,3.65472761630575
2026-01-12 00:00:00-05:00,118.48166089137065,121.54824687869689,118.1929231591715,119.94525909423828,5203400,0.0,0.0,35.551266625753954,123.79960059337216,125.00799968676111,125.43893689210626,125.6550262764524,3.649038090821379
2026-01-13 00:00:00-05:00,120.97076796235876,121.34911001642921,118.39205318034786,119.13878631591797,5641600,0.0,0.0,33.61622815019594,123.3557135193289,124.77783445653198,125.31418143515202,125.59018806788988,3.612056160797439
2026-01-14 00:00:00-05:00,118.63100719734287,121.53828641983739,117.41632006565563,118.17301177978516,4788300,0.0,0.0,28.90885076289196,122.8621228774676,124.51882180254192,125.17277213504575,125.51638531875452,3.742911990911741
2026-01-15 00:00:00-05:00,121.2794152276225,123.11140447022555,118.95957005953466,119.13878631591797,6834000,0.0,0.0,29.607120277436493,122.50751939541524,124.30784001875276,125.05328726734024,125.45292662220889,3.893680504263684
2026-01-16 00:00:00-05:00,119.68639140518601,122.45428113598165,118.7007057491188,120.00499725341797,9023300,0.0,0.0,29.640029218093574,122.26918395332027,124.13910108677885,124.95332112845068,125.39871836978311,4.043027031519776
2026-01-20 00:00:00-05:00,116.51000213623047,117.05000305175781,110.83999633789062,111.06999969482422,11625700,0.525,0.0,22.180193530953375,121.20259497632064,123.62658730670219,124.67840387233927,125.2561440546094,4.538366492371806
2026-01-21 00:00:00-05:00,112.33000183105469,114.41999816894531,110.22000122070312,113.26000213623047,9162300,0.0,0.0,26.64448472470815,120.44615756297873,123.22005455491899,124.45229690726782,125.13677945840662,4.728134560059958
2026-01-22 00:00:00-05:00,114.2300033569336,119.58999633789062,113.9800033569336,117.16999816894531,8372200,0.0,0.0,37.2753828260507,120.13414238259459,122.98279744174354,124.30809297185549,125.05750800279009,4.993237782910026
2026-01-23 00:00:00-05:00,115.41999816894531,115.98999786376953,113.76000213623047,115.43000030517578,6342800,0.0,0.0,31.483125143654348,119.68612885141185,122.68660931874089,124.1322891566737,124.96171190629642,4.980785699529037
2026-01-26 00:00:00-05:00,115.01000213623047,117.29000091552734,115.01000213623047,115.93000030517578,6309400,0.0,0.0,36.83012702626346,119.3284023231989,122.42164425938539,123.96986759525791,124.87184412917084,4.4964735825594575
2026-01-27 00:00:00-05:00,116.77999877929688,117.83999633789062,114.4800033569336,114.66000366210938,5058300,0.0,0.0,35.359740184303945,118.88379292690466,122.11726619674711,123.78551385400745,124.77023377626476,4.425690192803061
2026-01-28 00:00:00-05:00,115.4000015258789,118.5,114.22000122070312,117.31999969482422,5300400,0.0,0.0,46.11106507284866,118.7348602381351,121.92913809863249,123.65748387065729,124.69610209386238,4.363015600221016
2026-01-29 00:00:00-05:00,115.66999816894531,119.0999984741211,115.30999755859375,118.48999786376953,6246400,0.0,0.0,50.8961915607266,118.71154001200505,121.79426985412806,123.55515741507536,124.63434981296594,4.258230287051345
2026-01-30 00:00:00-05:00,116.81999969482422,116.9000015258789,112.26000213623047,114.44000244140625,10734700,0.0,0.0,40.631424494711744,118.30472691004326,121.50586721049191,123.37465929678487,124.53291352071162,4.440806447703819
2026-02-02 00:00:00-05:00,114.54000091552734,119.30000305175781,114.38999938964844,119.16000366210938,8019700,0.0,0.0,48.870110517846705,118.38618183881145,121.41387256153573,123.29120076936555,124.47945173107378,4.551855015031246
2026-02-03 00:00:00-05:00,119.9800033569336,121.19999694824219,116.19999694824219,117.1500015258789,8764600,0.0,0.0,47.23416825149319,118.26845038043692,121.24666193268644,123.16959286355392,124.40652187828577,4.697779526739722
2026-02-04 00:00:00-05:00,118.16000366210938,123.04000091552734,116.81999969482422,122.04000091552734,10914500,0.0,0.0,54.84864985036602,118.62764566949315,121.27777326534687,123.14722470616725,124.38297440601953,4.847639160062676
2026-02-05 00:00:00-05:00,120.25,122.72000122070312,113.05000305175781,115.38999938964844,9298400,0.0,0.0,45.88598708228026,118.31929840474602,121.04688017218223,122.99361628405796,124.29349206754819,5.185610979955884
2026-02-06 00:00:00-05:00,116.9000015258789,122.56999969482422,116.5,121.05000305175781,7918000,0.0,0.0,51.037638809786905,118.57936551398524,121.04700263804794,122.95512889331935,124.26121854500302,5.430355616978237
2026-02-09 00:00:00-05:00,120.30000305175781,122.0,117.86000061035156,120.91000366210938,5016800,0.0,0.0,61.83831370513852,118.80133105190183,121.04163012918761,122.91463136398846,124.22787312328269,5.071426936558315
2026-02-10 00:00:00-05:00,122.55000305175781,126.62999725341797,122.44999694824219,126.01000213623047,6194100,0.0,0.0,64.33551160879568,119.48787115517122,121.23646824711085,122.97592583472593,124.24560575027719,5.179998125348773
