Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,rsi14,ema20,ema50,ema100,ema200,atr14
2026-01-02 00:00:00-05:00,683.842447277036,684.999261161205,677.9684744567207,681.309326171875,89377200,0.0,0.0,0.0,,681.309326171875,681.309326171875,681.309326171875,681.309326171875,
2026-01-05 00:00:00-05:00,684.6701449336617,687.5522884526621,684.5106074856512,685.846923828125,71927200,0.0,0.0,0.0,,681.7414783296131,681.4872711780025,681.3991795908106,681.3544763973103,
2026-01-06 00:00:00-05:00,686.0563439630641,690.4344019511112,685.9067890249802,689.92578125,69273800,0.0,0.0,0.0,,682.5209357506023,681.8181931416102,681.5680231880223,681.43976301276,
2026-01-07 00:00:00-05:00,690.3047811958188,692.0699799720542,687.4426026835383,687.701904296875,75588300,0.0,0.0,0.0,,683.0143613264379,682.0489269124049,681.6894861802768,681.5020728762835,
2026-01-08 00:00:00-05:00,686.9439569075789,688.7390423054183,685.6175622141362,687.632080078125,64019200,0.0,0.0,0.0,,683.4541440646938,682.2678740953743,681.8071613069669,681.5630679728192,
2026-01-09 00:00:00-05:00,688.7489932725086,693.4162394407576,687.3029303433501,692.1796264648438,80125500,0.0,0.0,0.0,,684.2851423885176,682.656570266726,682.0125566566279,681.6687053707499,
2026-01-12 00:00:00-05:00,688.7988836287034,694.1941832506386,688.7490319805348,693.2666625976562,63976000,0.0,0.0,0.0,,685.1405252655784,683.0726523189194,682.2354102396187,681.7841079302216,
2026-01-13 00:00:00-05:00,693.595779418591,694.194181802135,689.467040360938,691.8804931640625,78309700,0.0,0.0,0.0,,685.782426970196,683.4180578422583,682.4264019806967,681.884569474837,
2026-01-14 00:00:00-05:00,689.1180078469732,689.8360176539858,684.1714948792828,688.479736328125,94676700,0.0,0.0,0.0,,686.039313575713,683.6165550377825,682.5462699875765,681.950193025616,
2026-01-15 00:00:00-05:00,692.678285342935,693.5558934557131,689.3673203481677,690.3546142578125,77862000,0.0,0.0,0.0,,686.4502945930558,683.8807926542543,682.7008906661949,682.0338191075284,
2026-01-16 00:00:00-05:00,691.7707369284135,692.359156800422,688.22043529661,689.7761840820312,79289200,0.0,0.0,0.0,,686.7670459729583,684.1119844749514,682.8409954863105,682.1108575649862,
2026-01-20 00:00:00-05:00,679.6338820353151,682.9049778344743,674.7272992054969,675.7345581054688,111623300,0.0,0.0,0.0,,685.7163328427213,683.783457950658,682.7002739540166,682.0474117992198,
2026-01-21 00:00:00-05:00,677.7989248999835,686.8641332264262,676.2830453044572,683.5332641601562,127844500,0.0,0.0,0.0,,685.5084215396198,683.7736464294618,682.7167688095836,682.0621963998262,
2026-01-22 00:00:00-05:00,687.9711412752974,689.2476843606095,685.0491285530771,687.103515625,77112200,0.0,0.0,0.0,55.8889357584179,685.660335262037,683.9042295351692,682.8036350831562,682.1123587801762,6.479460243634898
2026-01-23 00:00:00-05:00,686.2757685331861,689.0781127396581,685.2884137823622,687.352783203125,63059600,0.0,0.0,0.0,56.11131410288061,685.8215207802359,684.0394669339125,682.8937172241457,682.1645023067728,6.247953975978581
2026-01-26 00:00:00-05:00,688.609372319757,692.2394730275811,688.0409174669724,690.84326171875,60473800,0.0,0.0,0.0,55.16175083359816,686.2997818219991,684.3062824156709,683.0511339468112,682.2508581218174,6.151077371954939
2026-01-27 00:00:00-05:00,692.2893344912051,694.6329705879123,691.6810104865692,693.5957641601562,55506100,0.0,0.0,0.0,53.898319150122475,686.994637282776,684.6705758174155,683.2599385054913,682.3637427590148,6.094093853824655
2026-01-28 00:00:00-05:00,695.1515053497095,695.9393926651097,692.0499903412962,693.5259399414062,61172200,0.0,0.0,0.0,56.48306552977545,687.6166661074075,685.0178449987485,683.4632256626381,682.4748093976457,6.041381356345921
2026-01-29 00:00:00-05:00,694.4933553961189,695.1615135683285,682.9648421722587,692.1497192382812,97486200,0.0,0.0,0.0,54.886713700386494,688.048385453205,685.2975263414753,683.6352354364132,682.571077157254,6.689609306687901
2026-01-30 00:00:00-05:00,689.9058246991844,692.3192774332931,685.2485609149509,690.0853271484375,101835100,0.0,0.0,0.0,47.60599739061878,688.24237990037,685.4852832358661,683.76296002477,682.6458458138826,6.757995551040381
