Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,rsi14,ema20,ema50,ema100,ema200,atr14
2025-12-19 00:00:00-05:00,303.05649361491436,308.77246808062773,302.1271556335122,308.3927307128906,45234400,0.0,0.0,,308.3927307128906,308.3927307128906,308.3927307128906,308.3927307128906,
2025-12-22 00:00:00-05:00,311.00590276398736,311.4805744617787,306.37415605916556,311.1108093261719,14091400,0.0,0.0,,308.6515953427269,308.49932203105857,308.44655405176746,308.41977627123174,
2025-12-23 00:00:00-05:00,310.9159802898749,316.07732233157225,310.5312415592812,315.457763671875,13961400,0.0,0.0,,309.2998018502648,308.7722020954043,308.585389885829,308.4898059966113,
2025-12-24 00:00:00-05:00,315.9274269904115,316.0673430697277,313.0994327046168,315.4477844238281,6138200,0.0,0.0,,309.88532400012804,309.0339896376954,308.72127888658144,308.55903961280256,
2025-12-26 00:00:00-05:00,315.697596822516,316.3371303864859,313.4991334861664,314.7382507324219,6730900,0.0,0.0,,310.34750749844176,309.2576861512141,308.8404268439248,308.62052430055996,
2025-12-29 00:00:00-05:00,312.5997990474494,314.7482794651283,311.6804332591459,314.168701171875,12317700,0.0,0.0,,310.7114307054354,309.4502749755537,308.94593722665644,308.67573004057306,
2025-12-30 00:00:00-05:00,313.18937063635735,317.47635911952403,313.0294796129375,314.32855224609375,11052500,0.0,0.0,,311.0559184712124,309.6415799665553,309.0525236626849,308.73197702769266,
2025-12-31 00:00:00-05:00,313.1493810861174,315.16797851359684,311.9802218497337,313.5790710449219,10821500,0.0,0.0,,311.2962187163276,309.7959913813932,309.14215826431337,308.7802068189089,
2026-01-02 00:00:00-05:00,317.3664134053808,322.6866704398477,310.4312967164081,315.0980224609375,22043700,0.0,0.0,,311.6582952634333,310.0039141688263,309.260096169197,308.84307065614297,
2026-01-05 00:00:00-05:00,317.4713546577956,319.02525264134,315.0270622120786,317.09661865234375,19934000,0.0,0.0,,312.1762308242819,310.2820594426898,309.41527483222967,308.9251955118266,
2026-01-06 00:00:00-05:00,317.08661903192046,321.33362713520853,312.1201165712904,314.32855224609375,18989900,0.0,0.0,,312.3812138168354,310.4407454349801,309.5125674542864,308.9789602554511,
2026-01-07 00:00:00-05:00,314.34855098419695,326.23516596134203,314.2785929449241,322.2030029296875,24681800,0.0,0.0,,313.31662230377367,310.9020104347726,309.7638632062745,309.11054276962267,
2026-01-08 00:00:00-05:00,329.03320030352205,330.3072965587092,321.7632977668038,325.7804870605469,21789600,0.0,0.0,,314.503657042514,311.4854801063716,310.08102407467595,309.27641286206966,
2026-01-09 00:00:00-05:00,327.2594319079323,331.24664361980945,326.02031464702753,328.9082946777344,17917700,0.0,0.0,84.0464517958795,315.8755272934874,312.1687277366211,310.4538413143405,309.4717549696882,6.088571739149087
2026-01-12 00:00:00-05:00,326.2701332040466,334.2045456211923,325.28083995553135,332.4957580566406,23893800,0.0,0.0,85.7439351782291,317.4584064137877,312.96586618054346,310.8903149131979,309.7008495277674,6.251314111902332
2026-01-13 00:00:00-05:00,335.0439614518862,340.9598071864901,334.1146234915264,336.1931457519531,24616700,0.0,0.0,86.1463237001541,319.2426673031368,313.8767398892262,311.3913610684208,309.96445446532147,6.491144878133497
2026-01-14 00:00:00-05:00,334.7491627620068,336.79273654204565,330.9068988397455,336.0732421875,17839300,0.0,0.0,83.83079992628146,320.84557919688564,314.7471909597468,311.88011118959065,310.22424339788046,6.515413230277005
2026-01-15 00:00:00-05:00,337.8170192662028,337.89197866848025,331.0567973378674,332.92547607421875,16424900,0.0,0.0,76.00359967345041,321.9960455661555,315.46006488580446,312.29685108829614,310.4501263100828,6.791646870669999
2026-01-16 00:00:00-05:00,334.699218946803,335.00399692197004,327.9389970491494,330.1074523925781,21868600,0.0,0.0,71.51658289911492,322.76856050200524,316.0344722390113,312.6495362626384,310.64572159448574,7.0935756544200785
2026-01-20 00:00:00-05:00,321.01383130033213,327.85901487201596,320.66410210372305,321.9331970214844,27169900,0.0,0.0,58.96189695898466,322.68900207528895,316.2657947795004,312.8333711291502,310.7580347828141,7.548968803196699
2026-01-21 00:00:00-05:00,320.8689590122254,332.49077668571255,319.3150610092894,328.1488342285156,22791700,0.0,0.0,63.99514440992158,323.208986089882,316.7317963265206,313.1366476261673,310.9310775633684,8.17245710104217
