Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,rsi14,ema20,ema50,ema100,ema200,atr14
2025-12-19 00:00:00-05:00,486.2501387748106,486.73904362092316,481.39123391446003,484.8134460449219,70836100,0.0,0.0,,484.8134460449219,484.8134460449219,484.8134460449219,484.8134460449219,
2025-12-22 00:00:00-05:00,485.01298390813173,487.6170561484318,481.5908021440126,483.81573486328125,16963000,0.0,0.0,,484.71842593238466,484.7743201162301,484.7936893878597,484.8035185704777,
2025-12-23 00:00:00-05:00,483.8755963136496,486.71908182827985,483.63612214595605,485.7413330078125,14683600,0.0,0.0,,484.815845653854,484.8122421904098,484.8124546080568,484.81285005741637,
2025-12-24 00:00:00-05:00,484.5739628623746,488.04604888584674,483.7258924615979,486.90863037109375,5855900,0.0,0.0,,485.01515848406734,484.8944534916131,484.853963039008,484.83370359287585,
2025-12-26 00:00:00-05:00,485.601642461088,487.00843522519267,484.85335038112265,486.599365234375,8842200,0.0,0.0,,485.16603531742993,484.96131277564297,484.8885254587183,484.8512723654281,
2025-12-29 00:00:00-05:00,483.7558335295542,487.23790659993216,483.0773893732932,485.9907531738281,10893400,0.0,0.0,,485.2445798751822,485.00168298733655,484.91035175010654,484.86261048292465,
2025-12-30 00:00:00-05:00,484.82341501264875,488.56487537463653,484.39440153201394,486.3699035644531,13944500,0.0,0.0,,485.3517535598746,485.0553386962431,484.9392537662322,484.8776084240344,
2025-12-31 00:00:00-05:00,486.7290680267604,487.0284031238816,482.1993981667827,482.5186767578125,15601600,0.0,0.0,,485.081936721583,484.95586175748116,484.89132154824364,484.8541364671566,
2026-01-02 00:00:00-05:00,483.2869444224563,483.5563186075122,469.0893385249197,471.8630065917969,25571600,0.0,0.0,,483.82299099493673,484.4424164568661,484.6333351134625,484.7248714932724,
2026-01-05 00:00:00-05:00,472.98042932285466,474.9858617296903,468.4308161640092,471.773193359375,25250300,0.0,0.0,,482.67539122012136,483.9455841785332,484.3786788411044,484.5959990740297,
2026-01-06 00:00:00-05:00,472.72102257015473,477.64977534720424,468.68025764779384,477.4203186035156,23037700,0.0,0.0,,482.174908113778,483.6896914108854,484.240889529469,484.524599268353,
2026-01-07 00:00:00-05:00,478.6674756822987,488.5848422406915,476.86159994291296,482.3690185546875,25564200,0.0,0.0,,482.193394822436,483.63790031848555,484.2038227774931,484.5031507040379,
2026-01-08 00:00:00-05:00,480.14408679814625,481.5608665012806,474.7763335277468,477.0212097167969,18162600,0.0,0.0,,481.7008057647561,483.3784222556742,484.06159281589515,484.42870353003553,
2026-01-09 00:00:00-05:00,472.9804540365218,478.72734693664125,471.1247042989064,478.1885681152344,18491000,0.0,0.0,41.07047073728548,481.36630694099216,483.17489856389227,483.9452952970702,484.3666126303858,6.500169571287399
2026-01-12 00:00:00-05:00,475.5845048686955,479.89464390147504,474.59673866594744,476.09332275390625,23519900,0.0,0.0,38.87472093456066,480.86411797079353,482.8971897085987,483.78981069225506,484.28429133808254,6.496604966220575
2026-01-13 00:00:00-05:00,473.5990225282599,474.6965236309785,464.888922501957,469.5981750488281,28545800,0.0,0.0,34.09242544578194,479.79117102584445,482.3756597219411,483.5087882042664,484.13816082774173,6.866472555329868
